kommunenummer,kommune,fylkesnummer,fylke,aar_start,aar_slutt,folkemengde_start,folkemengde_slutt,vekst,vekst_pst,fodselsoverskudd_sum,nettoinnflytting_sum,folketilvekst_sum,restledd_sum,grenseavvik_sum,grenseavvik_maks_pst,grenseavvik_maks_aar,aar_uten_folketall,aar_med_stromtall,sammenlignbar,rangering
1528,Sykkylven,15,Møre og Romsdal,2011,2026,7662,7626,-36,-0.004698512137823023,55.0,-95.0,-36.0,4.0,0.0,0.0,2011,0.0,15,true,211
4018,Nome,40,Telemark,2011,2026,6561,6529,-32,-0.004877305288827923,-319.0,299.0,-32.0,-12.0,0.0,0.0,2011,0.0,15,true,212
5026,Holtålen,50,Trøndelag - Trööndelage,2011,2026,2048,2037,-11,-0.00537109375,-135.0,117.0,-11.0,7.0,0.0,0.0,2011,0.0,15,true,213
5054,Indre Fosen,50,Trøndelag - Trööndelage,2011,2026,10065,10006,-59,-0.005861897665176354,-224.0,97.0,-128.0,-1.0,69.0,0.006808169803764518,2019,0.0,15,false,
1828,Nesna,18,Nordland - Nordlánnda,2011,2026,1808,1796,-12,-0.00663716814159292,-57.0,51.0,-12.0,-6.0,0.0,0.0,2011,0.0,15,true,214
4224,Åseral,42,Agder,2011,2026,912,904,-8,-0.008771929824561403,-8.0,-4.0,-8.0,4.0,0.0,0.0,2011,0.0,15,true,215
1812,Sømna,18,Nordland - Nordlánnda,2011,2026,2025,2006,-19,-0.009382716049382716,-114.0,92.0,-19.0,3.0,0.0,0.0,2011,0.0,15,true,216
5007,Namsos - Nåavmesjenjaelmie,50,Trøndelag - Trööndelage,2011,2026,15266,15112,-154,-0.010087776758810429,59.0,-285.0,-206.0,20.0,52.0,0.0034000261540473387,2019,0.0,15,true,217
3452,Vestre Slidre,34,Innlandet,2011,2026,2217,2190,-27,-0.012178619756427604,-108.0,93.0,-16.0,-1.0,-11.0,0.0051764705882352945,2020,0.0,15,false,
3439,Ringebu,34,Innlandet,2011,2026,4556,4497,-59,-0.012949956101843723,-222.0,167.0,-59.0,-4.0,0.0,0.0,2011,0.0,15,true,218
4217,Åmli,42,Agder,2011,2026,1829,1805,-24,-0.013121924548933843,-29.0,6.0,-24.0,-1.0,0.0,0.0,2011,0.0,15,true,219
5041,Snåase - Snåsa,50,Trøndelag - Trööndelage,2011,2026,2172,2141,-31,-0.01427255985267035,-97.0,67.0,-31.0,-1.0,0.0,0.0,2011,0.0,15,true,220
